sensitivity_group,param_value,attack,n_seeds,seeds,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,all_attack_valid
unlearn_lambda,0.0,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.065625,0.018814991529362963,0.046875,0.0859375,0.879347825050354,0.011138001849570497,0.8695651888847351,0.89673912525177,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.0076087117195129395,0.013641189270430589,-0.016304314136505127,0.016304373741149902,False
unlearn_lambda,0.25,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.009375,0.0034938562148434213,0.0078125,0.015625,0.879347825050354,0.012975381267961265,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.0076087117195129395,0.014172200905908483,0.0,0.032608747482299805,True
unlearn_lambda,0.25,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.009375,0.006536406457297465,0.0,0.015625,0.872826087474823,0.01364120470602068,0.85326087474823,0.8913043737411499,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.014130449295043946,0.016573877962337932,-0.005434811115264893,0.03804349899291992,True
unlearn_lambda,0.25,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.059375,0.008907620508587016,0.046875,0.0703125,0.875,0.010167560752556898,0.864130437374115,0.8913043737411499,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.011956536769866943,0.008930258774344776,0.0,0.02173912525177002,False
unlearn_lambda,0.5,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0109375,0.01307281291459493,0.0,0.03125,0.876086950302124,0.009722037364877256,0.864130437374115,0.885869562625885,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.01086958646774292,0.008593143766945505,0.0,0.02173912525177002,True
unlearn_lambda,0.5,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.028125,0.022507594204512395,0.0,0.0625,0.876086974143982,0.0070861015958252815,0.864130437374115,0.8804348111152649,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.01086956262588501,0.0038429917940718287,0.005434751510620117,0.016304373741149902,True
unlearn_lambda,0.5,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0734375,0.010481568644530264,0.0625,0.0859375,0.8858695745468139,0.0066562327069172415,0.875,0.8913043737411499,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.0010869622230529786,0.007086092452927004,-0.005434811115264893,0.01086956262588501,False
unlearn_lambda,1.0,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0125,0.006987712429686843,0.0078125,0.0234375,0.886956512928009,0.020479831532700016,0.864130437374115,0.907608687877655,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,2.384185791015625e-08,0.02337588523349969,-0.027173876762390137,0.021739184856414795,True
unlearn_lambda,1.0,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0078125,0.0078125,0.0,0.015625,0.87826087474823,0.015657474828425784,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.008695662021636963,0.012511828190536702,-0.005434811115264893,0.021739184856414795,True
unlearn_lambda,1.0,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.06875,0.02304356438086348,0.046875,0.09375,0.883695662021637,0.008242267708093689,0.875,0.8913043737411499,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.0032608747482299806,0.009094157051471374,-0.005434811115264893,0.016304373741149902,False
unlearn_lambda,2.0,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0125,0.008907620508587016,0.0,0.0234375,0.872826087474823,0.01251182560145227,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.014130449295043946,0.01612218486375738,-0.01086956262588501,0.032608747482299805,True
unlearn_lambda,2.0,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0234375,0.020669932117692115,0.0,0.0546875,0.8641304135322571,0.007685930904587353,0.85326087474823,0.8695651888847351,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.022826123237609863,0.010454001288479174,0.010869622230529785,0.03804349899291992,True
unlearn_lambda,2.0,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0828125,0.019609219371892396,0.0546875,0.1015625,0.872826099395752,0.012511821717860113,0.864130437374115,0.8913043737411499,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.01413043737411499,0.014172205477379742,-0.005434811115264893,0.027173936367034912,False
target_suppression,0.0,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0125,0.011848242881330547,0.0,0.03125,0.8847826242446899,0.012975355054045432,0.875,0.907608687877655,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.0021739125251770018,0.017013547122039757,-0.027173876762390137,0.016304373741149902,True
target_suppression,0.0,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0203125,0.01307281291459493,0.0078125,0.0390625,0.873913049697876,0.009722037364877256,0.864130437374115,0.885869562625885,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.013043487071990966,0.007291530939198552,0.005434751510620117,0.02173912525177002,True
target_suppression,0.0,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0859375,0.024079742199097563,0.0625,0.125,0.88152174949646,0.008930255146921612,0.875,0.89673912525177,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.005434787273406983,0.006656208373449596,-0.005434751510620117,0.01086956262588501,False
target_suppression,0.1,relation,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0140625,0.010186253758129139,0.0,0.0234375,0.877173912525177,0.017442195430845468,0.8586956262588501,0.9021739363670349,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.009782624244689942,0.020479840232295207,-0.02173912525177002,0.032608747482299805,True
target_suppression,0.1,uba,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0171875,0.0034938562148434213,0.015625,0.0234375,0.872826087474823,0.011269816768365963,0.864130437374115,0.8913043737411499,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.014130449295043946,0.013641214204858707,-0.005434811115264893,0.027173936367034912,True
target_suppression,0.1,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0875,0.010186253758129139,0.078125,0.1015625,0.8706521630287171,0.010454019880666753,0.8586956262588501,0.885869562625885,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.016304373741149902,0.011528919186434592,0.0,0.027173936367034912,False
