robustness_group,robustness_value,attack,adaptive_variant,n_seeds,seeds,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,detection_recall_mean,detection_recall_std,detection_recall_min,detection_recall_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,all_attack_valid
partial_detection_failure,0.1,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.071875,0.023696485762661094,0.046875,0.09375,0.877173924446106,0.012511816539744824,0.864130437374115,0.8913043737411499,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.009782612323760986,0.009722037364877256,0.0,0.02173912525177002,0.5765625,0.23224290641077716,0.34375,0.953125,0.8791814418174008,0.04766937143850818,0.8309859154929577,0.953125,False
partial_detection_failure,0.2,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0484375,0.038033317014494014,0.0078125,0.1015625,0.8619565010070801,0.004861019515452066,0.8586956262588501,0.8695651888847351,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.025000035762786865,0.006196609321497536,0.016304373741149902,0.032608747482299805,0.9453125,0.04170733692199731,0.8984375,0.9921875,0.9512096774193548,0.03811388821433266,0.8984375,0.9921875,True
partial_detection_failure,0.2,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.053125,0.030458732327528014,0.0,0.0703125,0.8423913002014161,0.04296571883454974,0.7771739363670349,0.89673912525177,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.044565236568450926,0.04471739498222958,-0.01086956262588501,0.11413043737411499,0.9328125,0.04575484520108226,0.875,1.0,0.9458382526564345,0.03123117729426184,0.9256198347107438,1.0,True
partial_detection_failure,0.2,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0734375,0.01620034480728728,0.0625,0.1015625,0.875,0.016304373741149902,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.011956536769866943,0.014067612565791334,-0.005434811115264893,0.027173936367034912,0.575,0.2300114637088769,0.328125,0.9375,0.8752789392123939,0.047807619130488324,0.8169014084507042,0.9375,False
partial_detection_failure,0.3,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0578125,0.02181912506838897,0.03125,0.078125,0.8543478131294251,0.011782337491616324,0.8478260636329651,0.875,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.03260872364044189,0.01274571102234928,0.01086956262588501,0.043478310108184814,0.9359375,0.03144470593359079,0.890625,0.96875,0.9416834677419355,0.022426320461473106,0.9193548387096774,0.96875,True
partial_detection_failure,0.3,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.05,0.046417033679727965,0.0,0.1171875,0.8456521511077881,0.024786416375220287,0.8152173757553101,0.8695651888847351,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.041304385662078856,0.02891181795117777,0.010869622230529785,0.07608699798583984,0.9359375,0.04185342261243398,0.8828125,1.0,0.9496704053522236,0.04623904303655005,0.8828125,1.0,True
partial_detection_failure,0.3,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.078125,0.022777155839239456,0.046875,0.1015625,0.869565224647522,0.01274571102234928,0.85326087474823,0.8804348111152649,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.01739131212234497,0.015080921142091409,0.0,0.03804349899291992,0.5703125,0.2354791698922115,0.2890625,0.9375,0.8630608708430357,0.07660572885224164,0.74,0.9375,False
partial_detection_failure,0.4,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0765625,0.021678807696111888,0.0390625,0.09375,0.848913049697876,0.009722032366867998,0.842391312122345,0.864130437374115,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.03804348707199097,0.010167552787551827,0.02173912525177002,0.04891306161880493,0.9171875,0.030558761274387416,0.875,0.9609375,0.9228326612903226,0.022311185888586764,0.9032258064516129,0.9609375,True
partial_detection_failure,0.4,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.1078125,0.0640434422872475,0.0,0.15625,0.829347825050354,0.03492667178768638,0.79347825050354,0.875,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.05760871171951294,0.03757476480624289,0.01086956262588501,0.09782612323760986,0.878125,0.07130377630690397,0.828125,1.0,0.8904259723861997,0.06460836252830854,0.8412698412698413,1.0,True
partial_detection_failure,0.4,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0890625,0.020372507516258277,0.0625,0.1171875,0.8652173995971679,0.012393217336041979,0.85326087474823,0.8804348111152649,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.021739137172698975,0.014883767042173469,0.0,0.03804349899291992,0.559375,0.23622964115321135,0.296875,0.9375,0.8460152919560262,0.0647829340814568,0.76,0.9375,False
