source_file,dataset,model,attack,seed,robustness_group,robustness_value,drop_detected_ratio,adaptive_variant,poison_rate,trigger_size,clean_acc,backdoored_clean_acc,clean_trigger_asr,poisoned_asr,learned_backdoor_gap,detection_precision,detection_recall,detection_f1,defense_clean_acc,defense_asr,asr_drop,utility_drop,relative_asr_reduction,original_suspicious,kept_suspicious,dropped_suspicious,attack_valid
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_relation_r0.200_seed1_20260515_005944.json,ACM,HAN,relation,1,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.885869562625885,0.70652174949646,0.09375,1.0,0.90625,1.0,0.7431192660550459,0.8526315789473684,0.83152174949646,0.0703125,0.9296875,0.05434781312942505,0.9296875,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_relation_r0.200_seed2_20260515_012046.json,ACM,HAN,relation,2,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.8804348111152649,0.7554348111152649,0.0625,0.96875,0.90625,1.0,0.7431192660550459,0.8526315789473684,0.79347825050354,0.0703125,0.8984375,0.08695656061172485,0.9274193548387096,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_relation_r0.200_seed3_20260515_014136.json,ACM,HAN,relation,3,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.885869562625885,0.5163043737411499,0.0703125,1.0,0.9296875,1.0,0.7431192660550459,0.8526315789473684,0.8260869383811951,0.0625,0.9375,0.05978262424468994,0.9375,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_relation_r0.200_seed4_20260515_020235.json,ACM,HAN,relation,4,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.8913043737411499,0.842391312122345,0.0703125,1.0,0.9296875,1.0,0.7431192660550459,0.8526315789473684,0.8695651888847351,0.0390625,0.9609375,0.021739184856414795,0.9609375,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_relation_r0.200_seed5_20260515_022251.json,ACM,HAN,relation,5,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.8913043737411499,0.820652186870575,0.078125,1.0,0.921875,1.0,0.7431192660550459,0.8526315789473684,0.864130437374115,0.0234375,0.9765625,0.027173936367034912,0.9765625,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_uba_r0.200_seed1_20260515_010110.json,ACM,HAN,uba,1,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.885869562625885,0.820652186870575,0.09375,1.0,0.90625,1.0,0.7431192660550459,0.8526315789473684,0.842391312122345,0.046875,0.953125,0.04347825050354004,0.953125,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_uba_r0.200_seed2_20260515_012210.json,ACM,HAN,uba,2,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.8804348111152649,0.7771739363670349,0.0859375,0.984375,0.8984375,1.0,0.7431192660550459,0.8526315789473684,0.8695651888847351,0.015625,0.96875,0.010869622230529785,0.9841269841269841,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_uba_r0.200_seed3_20260515_014304.json,ACM,HAN,uba,3,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.885869562625885,0.30434781312942505,0.0703125,1.0,0.9296875,1.0,0.7431192660550459,0.8526315789473684,0.907608687877655,0.0703125,0.9296875,-0.02173912525177002,0.9296875,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_uba_r0.200_seed4_20260515_020358.json,ACM,HAN,uba,4,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.8913043737411499,0.30434781312942505,0.0546875,1.0,0.9453125,1.0,0.7431192660550459,0.8526315789473684,0.83152174949646,0.0,1.0,0.05978262424468994,1.0,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.75_ACM_HAN_uba_r0.200_seed5_20260515_022416.json,ACM,HAN,uba,5,inaccurate_detection_ratio,0.75,0.0,,0.2,10,0.8913043737411499,0.8260869383811951,0.1015625,0.9453125,0.84375,1.0,0.7431192660550459,0.8526315789473684,0.842391312122345,0.015625,0.9296875,0.04891306161880493,0.9834710743801653,,,,True
